seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	894810	894874	65	*	X0001	26155	879583	894679	15097	-	130	upstream	130	NOC2L
chr1	894810	894874	65	*	X0001	339451	895967	901099	5133	+	1092	upstream	1092	KLHL17
chr1	1141785	1141796	12	*	X0005	8784	1138888	1142089	3202	-	0	inside	292	TNFRSF18
chr1	1141817	1141990	174	*	X0006	8784	1138888	1142089	3202	-	0	inside	98	TNFRSF18
chr1	1535112	1535219	108	*	X0010	643988	1533388	1535476	2089	-	0	inside	256	FNDC10
chr1	1565813	1565845	33	*	X0011	8510	1567560	1570030	2471	+	1714	upstream	1714	MMP23B
chr1	9884604	9884671	68	*	X0021	22883	9789079	9884550	95472	-	53	upstream	53	CLSTN1
chr1	11919127	11919256	130	*	X0023	4879	11917521	11918992	1472	-	134	upstream	134	NPPB
chr1	15479805	15479878	74	*	X0024	200197	15438311	15478960	40650	-	844	upstream	844	TMEM51-AS1
chr1	15479923	15479970	48	*	X0025	200197	15438311	15478960	40650	-	962	upstream	962	TMEM51-AS1
chr1	32827026	32827122	97	*	X0040	81629	32827862	32829924	2063	+	739	upstream	739	TSSK3
chr1	38259872	38259943	72	*	X0047	149175	38259774	38267278	7505	+	0	inside	97	MANEAL
chr1	38513123	38513185	63	*	X0049	5453	38509523	38512450	2928	-	672	upstream	672	POU3F1
chr1	38513209	38513260	52	*	X0050	5453	38509523	38512450	2928	-	758	upstream	758	POU3F1
chr1	40156971	40157106	136	*	X0052	51440	40144645	40157089	12445	-	0	overlapStart	0	HPCAL4
chr1	40157168	40157182	15	*	X0053	51440	40144645	40157089	12445	-	78	upstream	78	HPCAL4
chr1	40974518	40974603	86	*	X0055	64789	40974433	40982214	7782	+	0	inside	84	EXO5
chr1	41249183	41249296	114	*	X0056	9132	41249684	41306124	56441	+	387	upstream	387	KCNQ4
chr1	51433792	51433811	20	*	X0071	1031	51433608	51440309	6702	+	0	inside	183	CDKN2C
chr1	51433865	51433884	20	*	X0072	1031	51433608	51440309	6702	+	0	inside	256	CDKN2C
chr1	53308203	53308262	60	*	X0077	440590	53308183	53360247	52065	+	0	inside	19	ZYG11A
chr1	53308275	53308942	668	*	X0078	440590	53308183	53360247	52065	+	0	inside	91	ZYG11A
chr1	53392941	53393130	190	*	X0080	55268	53361582	53392851	31270	-	89	upstream	89	ECHDC2
chr1	53392941	53393130	190	*	X0080	6342	53392901	53517289	124389	+	0	inside	39	SCP2
chr1	59042881	59042915	35	*	X0084	4070	59041095	59043166	2072	-	0	inside	250	TACSTD2
chr1	59042926	59042993	68	*	X0085	4070	59041095	59043166	2072	-	0	inside	172	TACSTD2
chr1	59043093	59043205	113	*	X0086	4070	59041095	59043166	2072	-	0	overlapStart	0	TACSTD2
chr1	59043293	59043319	27	*	X0087	4070	59041095	59043166	2072	-	126	upstream	126	TACSTD2
chr1	65720342	65720344	3	*	X0091	9829	65720148	65881552	161405	+	0	inside	193	DNAJC6
